timestamp,telemetria
30/05/2025 17:02:57,8AA68EA66062E0A6A664626862E103F0231101834332A9E78D2200000000000000000000CD97050000000000000000002100000000000000010000008D220000
30/05/2025 17:02:57,8AA68EA66062E0A6A664626862E103F022110182433276060000EAFF000008F20000888241060000E0010000160000000000000000000000
30/05/2025 17:00:57,8AA68EA66062E0A6A664626862E103F01F1101834332A9E78D2200000000000000000000CD97050000000000000000002100000000000000010000008D220000
30/05/2025 17:00:57,8AA68EA66062E0A6A664626862E103F01E1101824332FE050000E7FF000008F2000088823D060000E0010000160000000000000000000000
30/05/2025 16:59:57,8AA68EA66062E0A6A664626862E103F01D1101834332A9E78D2200000000000000000000CD97050000000000000000002100000000000000010000008D220000
30/05/2025 05:28:41,8AA68EA66062E0A6A664626862E103F0471101834332A9E78C22000000000000000000008997050000000000000000002100000000000000010000008C220000
30/05/2025 05:28:40,8AA68EA66062E0A6A664626862E103F046110182433288280000F4FF000008F2000088827B060000D6010000240000000000000000000000
30/05/2025 05:27:40,8AA68EA66062E0A6A664626862E103F0451101834332A9E78C22000000000000000000008997050000000000000000002100000000000000010000008C220000
30/05/2025 05:27:40,8AA68EA66062E0A6A664626862E103F04411018243324C280000F7FF000008F20000888279060000D6010000230000000000000000000000
30/05/2025 05:26:40,8AA68EA66062E0A6A664626862E103F0431101834332A9E78C22000000000000000000008997050000000000000000002100000000000000010000008C220000
30/05/2025 05:26:40,8AA68EA66062E0A6A664626862E103F042110182433210280000F7FF000008F20000888277060000D6010000230000000000000000000000
29/05/2025 18:01:13,8AA68EA66062E0A6A664626862E103F0241101824332D3060000C9FF000008F200008882CE02000037010000570000000000000000000000
29/05/2025 18:00:13,8AA68EA66062E0A6A664626862E103F0231101834332A9E789220000000000000000000018970500000000000000000021000000000000000100000089220000
29/05/2025 18:00:13,8AA68EA66062E0A6A664626862E103F022110182433297060000C9FF000008F200008882CC02000037010000570000000000000000000000
29/05/2025 17:59:13,8AA68EA66062E0A6A664626862E103F0211101834332A9E789220000000000000000000018970500000000000000000021000000000000000100000089220000
29/05/2025 17:59:13,8AA68EA66062E0A6A664626862E103F02011018243325B060000C9FF000008F200008882CA02000037010000570000000000000000000000
29/05/2025 17:58:13,8AA68EA66062E0A6A664626862E103F01F1101834332A9E789220000000000000000000018970500000000000000000021000000000000000100000089220000
29/05/2025 17:58:12,8AA68EA66062E0A6A664626862E103F01E11018243321F060000C6FF000008F200008882C802000037010000570000000000000000000000
28/05/2025 05:50:11,8AA68EA66062E0A6A664626862E103F0F31101834332A9E77E22000000000000000000003395050000000000000000002100000000000000010000007E220000
28/05/2025 05:50:11,8AA68EA66062E0A6A664626862E103F0F21101824332C63C0000D1FF000008F20000888263070000E3000000490000000000000000000000
28/05/2025 05:49:11,8AA68EA66062E0A6A664626862E103F0F11101834332A9E77E22000000000000000000003395050000000000000000002100000000000000010000007E220000
28/05/2025 05:49:11,8AA68EA66062E0A6A664626862E103F0F011018243328A3C0000D6FF000008F20000888261070000E3000000480000000000000000000000
28/05/2025 05:48:11,8AA68EA66062E0A6A664626862E103F0EF1101834332A9E77E22000000000000000000003395050000000000000000002100000000000000010000007E220000
28/05/2025 05:48:10,8AA68EA66062E0A6A664626862E103F0EE11018243324E3C0000D3FF000008F2000088825F070000E3000000480000000000000000000000
27/05/2025 16:50:08,8AA68EA66062E0A6A664626862E103F0231101834332A9E77922000000000000000000008C940500000000000000000021000000000000000100000079220000
27/05/2025 16:50:08,8AA68EA66062E0A6A664626862E103F02211018243327A060000D1FF000008F2000088823E040000FB000000340000000000000000000000
27/05/2025 16:49:08,8AA68EA66062E0A6A664626862E103F0211101834332A9E77922000000000000000000008C940500000000000000000021000000000000000100000079220000
27/05/2025 16:49:08,8AA68EA66062E0A6A664626862E103F02011018243323E060000D1FF000008F2000088823C040000FB000000340000000000000000000000
